class,instance,run,init_best,final_best,improvement,evals
gapShort,gapShort_0,0,-856,-63,793,40022
gapShort,gapShort_0,1,-854,-37,817,40022
gapShort,gapShort_0,2,-892,-67,825,40022
gapShort,gapShort_0,3,-886,-31,855,40022
gapShort,gapShort_0,4,-849,-134,715,40022
gapShort,gapShort_0,5,-840,-13,827,40022
gapShort,gapShort_0,6,-844,-41,803,40022
gapShort,gapShort_0,7,-883,-115,768,40022
gapShort,gapShort_0,8,-871,-110,761,40022
gapShort,gapShort_0,9,-857,-60,797,40022
gapShort,gapShort_1,0,-841,-45,796,40022
gapShort,gapShort_1,1,-853,-75,778,40022
gapShort,gapShort_1,2,-827,-96,731,40022
gapShort,gapShort_1,3,-835,-88,747,40022
gapShort,gapShort_1,4,-837,-61,776,40022
gapShort,gapShort_1,5,-835,-101,734,40022
gapShort,gapShort_1,6,-849,-146,703,40022
gapShort,gapShort_1,7,-874,-157,717,40022
gapShort,gapShort_1,8,-833,-107,726,40022
gapShort,gapShort_1,9,-837,-158,679,40022
gapShort,gapShort_2,0,-705,49,754,40022
gapShort,gapShort_2,1,-737,90,827,40022
gapShort,gapShort_2,2,-761,105,866,40022
gapShort,gapShort_2,3,-753,90,843,40022
gapShort,gapShort_2,4,-733,91,824,40022
gapShort,gapShort_2,5,-734,79,813,40022
gapShort,gapShort_2,6,-729,42,771,40022
gapShort,gapShort_2,7,-753,78,831,40022
gapShort,gapShort_2,8,-754,96,850,40022
gapShort,gapShort_2,9,-733,85,818,40022
gapShort,gapShort_3,0,-875,-14,861,40022
gapShort,gapShort_3,1,-896,-92,804,40022
gapShort,gapShort_3,2,-890,-125,765,40022
gapShort,gapShort_3,3,-886,-82,804,40022
gapShort,gapShort_3,4,-900,-108,792,40022
gapShort,gapShort_3,5,-863,-129,734,40022
gapShort,gapShort_3,6,-884,-129,755,40022
gapShort,gapShort_3,7,-890,-103,787,40022
gapShort,gapShort_3,8,-832,-17,815,40022
gapShort,gapShort_3,9,-899,12,911,40022
gapShort,gapShort_4,0,-790,-20,770,40022
gapShort,gapShort_4,1,-824,-48,776,40022
gapShort,gapShort_4,2,-774,-67,707,40022
gapShort,gapShort_4,3,-778,-65,713,40022
gapShort,gapShort_4,4,-769,-95,674,40022
gapShort,gapShort_4,5,-827,-39,788,40022
gapShort,gapShort_4,6,-795,-19,776,40022
gapShort,gapShort_4,7,-779,-7,772,40022
gapShort,gapShort_4,8,-781,-38,743,40022
gapShort,gapShort_4,9,-826,-36,790,40022
gapShort,gapShort_5,0,-879,-99,780,40022
gapShort,gapShort_5,1,-901,-85,816,40022
gapShort,gapShort_5,2,-884,-103,781,40022
gapShort,gapShort_5,3,-888,-97,791,40022
gapShort,gapShort_5,4,-885,-95,790,40022
gapShort,gapShort_5,5,-885,-144,741,40022
gapShort,gapShort_5,6,-879,-117,762,40022
gapShort,gapShort_5,7,-908,-69,839,40022
gapShort,gapShort_5,8,-894,-79,815,40022
gapShort,gapShort_5,9,-894,-143,751,40022
gapLong,gapLong_0,0,-853,86,939,40022
gapLong,gapLong_0,1,-871,103,974,40022
gapLong,gapLong_0,2,-893,107,1000,40022
gapLong,gapLong_0,3,-844,110,954,40022
gapLong,gapLong_0,4,-891,101,992,40022
gapLong,gapLong_0,5,-895,121,1016,40022
gapLong,gapLong_0,6,-876,115,991,40022
gapLong,gapLong_0,7,-878,5,883,40022
gapLong,gapLong_0,8,-882,32,914,40022
gapLong,gapLong_0,9,-867,26,893,40022
gapLong,gapLong_1,0,-1237,-90,1147,40022
gapLong,gapLong_1,1,-1245,-185,1060,40022
gapLong,gapLong_1,2,-1197,-170,1027,40022
gapLong,gapLong_1,3,-1231,-205,1026,40022
gapLong,gapLong_1,4,-1256,-190,1066,40022
gapLong,gapLong_1,5,-1229,-239,990,40022
gapLong,gapLong_1,6,-1205,-173,1032,40022
gapLong,gapLong_1,7,-1247,-185,1062,40022
gapLong,gapLong_1,8,-1226,-192,1034,40022
gapLong,gapLong_1,9,-1218,-177,1041,40022
gapLong,gapLong_2,0,-817,109,926,40022
gapLong,gapLong_2,1,-855,117,972,40022
gapLong,gapLong_2,2,-842,116,958,40022
gapLong,gapLong_2,3,-819,156,975,40022
gapLong,gapLong_2,4,-796,113,909,40022
gapLong,gapLong_2,5,-839,118,957,40022
gapLong,gapLong_2,6,-842,114,956,40022
gapLong,gapLong_2,7,-815,102,917,40022
gapLong,gapLong_2,8,-794,101,895,40022
gapLong,gapLong_2,9,-839,109,948,40022
gapLong,gapLong_3,0,-802,-76,726,40022
gapLong,gapLong_3,1,-776,-90,686,40022
gapLong,gapLong_3,2,-798,-92,706,40022
gapLong,gapLong_3,3,-785,-80,705,40022
gapLong,gapLong_3,4,-811,-47,764,40022
gapLong,gapLong_3,5,-760,-71,689,40022
gapLong,gapLong_3,6,-820,-65,755,40022
gapLong,gapLong_3,7,-796,-49,747,40022
gapLong,gapLong_3,8,-793,-96,697,40022
gapLong,gapLong_3,9,-800,-27,773,40022
gapLong,gapLong_4,0,-778,194,972,40022
gapLong,gapLong_4,1,-763,201,964,40022
gapLong,gapLong_4,2,-714,201,915,40022
gapLong,gapLong_4,3,-785,197,982,40022
gapLong,gapLong_4,4,-742,103,845,40022
gapLong,gapLong_4,5,-749,198,947,40022
gapLong,gapLong_4,6,-764,125,889,40022
gapLong,gapLong_4,7,-681,182,863,40022
gapLong,gapLong_4,8,-787,206,993,40022
gapLong,gapLong_4,9,-733,204,937,40022
gapLong,gapLong_5,0,-1180,-251,929,40022
gapLong,gapLong_5,1,-1145,-215,930,40022
gapLong,gapLong_5,2,-1170,-251,919,40022
gapLong,gapLong_5,3,-1145,-235,910,40022
gapLong,gapLong_5,4,-1165,-242,923,40022
gapLong,gapLong_5,5,-1167,-272,895,40022
gapLong,gapLong_5,6,-1140,-263,877,40022
gapLong,gapLong_5,7,-1163,-250,913,40022
gapLong,gapLong_5,8,-1142,-280,862,40022
gapLong,gapLong_5,9,-1133,-297,836,40022
