class,instance,run,init_best,final_best,improvement,evals
simEasy,simEasy_0,0,-518,317,835,40022
simEasy,simEasy_0,1,-477,363,840,40022
simEasy,simEasy_0,2,-527,57,584,40022
simEasy,simEasy_0,3,-507,213,720,40022
simEasy,simEasy_0,4,-501,198,699,40022
simEasy,simEasy_0,5,-471,211,682,40022
simEasy,simEasy_0,6,-502,242,744,40022
simEasy,simEasy_0,7,-483,-90,393,40022
simEasy,simEasy_0,8,-496,256,752,40022
simEasy,simEasy_0,9,-456,26,482,40022
simEasy,simEasy_1,0,-519,369,888,40022
simEasy,simEasy_1,1,-467,378,845,40022
simEasy,simEasy_1,2,-530,95,625,40022
simEasy,simEasy_1,3,-529,111,640,40022
simEasy,simEasy_1,4,-468,215,683,40022
simEasy,simEasy_1,5,-483,270,753,40022
simEasy,simEasy_1,6,-507,388,895,40022
simEasy,simEasy_1,7,-489,145,634,40022
simEasy,simEasy_1,8,-514,251,765,40022
simEasy,simEasy_1,9,-525,72,597,40022
simEasy,simEasy_2,0,-379,79,458,40022
simEasy,simEasy_2,1,-419,253,672,40022
simEasy,simEasy_2,2,-451,269,720,40022
simEasy,simEasy_2,3,-450,243,693,40022
simEasy,simEasy_2,4,-455,45,500,40022
simEasy,simEasy_2,5,-471,374,845,40022
simEasy,simEasy_2,6,-438,257,695,40022
simEasy,simEasy_2,7,-424,338,762,40022
simEasy,simEasy_2,8,-407,389,796,40022
simEasy,simEasy_2,9,-481,437,918,40022
simEasy,simEasy_3,0,-534,-39,495,40022
simEasy,simEasy_3,1,-541,268,809,40022
simEasy,simEasy_3,2,-491,296,787,40022
simEasy,simEasy_3,3,-459,345,804,40022
simEasy,simEasy_3,4,-530,253,783,40022
simEasy,simEasy_3,5,-515,304,819,40022
simEasy,simEasy_3,6,-509,281,790,40022
simEasy,simEasy_3,7,-550,350,900,40022
simEasy,simEasy_3,8,-562,142,704,40022
simEasy,simEasy_3,9,-508,309,817,40022
simEasy,simEasy_4,0,-502,380,882,40022
simEasy,simEasy_4,1,-482,400,882,40022
simEasy,simEasy_4,2,-495,354,849,40022
simEasy,simEasy_4,3,-449,366,815,40022
simEasy,simEasy_4,4,-506,365,871,40022
simEasy,simEasy_4,5,-476,355,831,40022
simEasy,simEasy_4,6,-489,393,882,40022
simEasy,simEasy_4,7,-438,123,561,40022
simEasy,simEasy_4,8,-524,390,914,40022
simEasy,simEasy_4,9,-498,396,894,40022
simEasy,simEasy_5,0,-519,402,921,40022
simEasy,simEasy_5,1,-538,402,940,40022
simEasy,simEasy_5,2,-515,253,768,40022
simEasy,simEasy_5,3,-505,402,907,40022
simEasy,simEasy_5,4,-516,126,642,40022
simEasy,simEasy_5,5,-511,165,676,40022
simEasy,simEasy_5,6,-532,359,891,40022
simEasy,simEasy_5,7,-542,402,944,40022
simEasy,simEasy_5,8,-480,402,882,40022
simEasy,simEasy_5,9,-507,303,810,40022
simMed,simMed_0,0,-600,112,712,40022
simMed,simMed_0,1,-549,70,619,40022
simMed,simMed_0,2,-576,131,707,40022
simMed,simMed_0,3,-532,64,596,40022
simMed,simMed_0,4,-561,-90,471,40022
