class,instance,run,init_best,final_best,improvement,evals
szSmall,szSmall_0,0,-430,77,507,60062
szSmall,szSmall_0,1,-431,118,549,60062
szSmall,szSmall_0,2,-424,107,531,60062
szSmall,szSmall_0,3,-419,99,518,60062
szSmall,szSmall_0,4,-421,105,526,60062
szSmall,szSmall_0,5,-424,142,566,60062
szSmall,szSmall_0,6,-410,142,552,60062
szSmall,szSmall_0,7,-439,122,561,60062
szSmall,szSmall_0,8,-415,128,543,60062
szSmall,szSmall_0,9,-429,108,537,60062
szSmall,szSmall_1,0,-458,57,515,60062
szSmall,szSmall_1,1,-477,59,536,60062
szSmall,szSmall_1,2,-439,22,461,60062
szSmall,szSmall_1,3,-438,57,495,60062
szSmall,szSmall_1,4,-441,17,458,60062
szSmall,szSmall_1,5,-473,57,530,60062
szSmall,szSmall_1,6,-468,59,527,60062
szSmall,szSmall_1,7,-463,57,520,60062
szSmall,szSmall_1,8,-458,57,515,60062
szSmall,szSmall_1,9,-471,51,522,60062
szSmall,szSmall_2,0,-470,59,529,60062
szSmall,szSmall_2,1,-466,77,543,60062
szSmall,szSmall_2,2,-444,88,532,60062
szSmall,szSmall_2,3,-453,43,496,60062
szSmall,szSmall_2,4,-464,56,520,60062
szSmall,szSmall_2,5,-455,89,544,60062
szSmall,szSmall_2,6,-472,83,555,60062
szSmall,szSmall_2,7,-471,57,528,60062
szSmall,szSmall_2,8,-416,70,486,60062
szSmall,szSmall_2,9,-463,82,545,60062
szSmall,szSmall_3,0,-407,108,515,60062
szSmall,szSmall_3,1,-411,98,509,60062
szSmall,szSmall_3,2,-423,13,436,60062
szSmall,szSmall_3,3,-431,33,464,60062
szSmall,szSmall_3,4,-421,87,508,60062
szSmall,szSmall_3,5,-429,55,484,60062
szSmall,szSmall_3,6,-427,118,545,60062
szSmall,szSmall_3,7,-435,67,502,60062
szSmall,szSmall_3,8,-433,62,495,60062
szSmall,szSmall_3,9,-431,108,539,60062
szSmall,szSmall_4,0,-367,166,533,60062
szSmall,szSmall_4,1,-360,166,526,60062
szSmall,szSmall_4,2,-363,166,529,60062
szSmall,szSmall_4,3,-364,166,530,60062
szSmall,szSmall_4,4,-380,169,549,60062
szSmall,szSmall_4,5,-378,121,499,60062
szSmall,szSmall_4,6,-339,169,508,60062
szSmall,szSmall_4,7,-368,166,534,60062
szSmall,szSmall_4,8,-392,158,550,60062
szSmall,szSmall_4,9,-377,166,543,60062
szSmall,szSmall_5,0,-407,49,456,60062
szSmall,szSmall_5,1,-420,-60,360,60062
szSmall,szSmall_5,2,-451,69,520,60062
szSmall,szSmall_5,3,-428,15,443,60062
szSmall,szSmall_5,4,-424,48,472,60062
szSmall,szSmall_5,5,-412,-2,410,60062
szSmall,szSmall_5,6,-404,47,451,60062
szSmall,szSmall_5,7,-447,59,506,60062
szSmall,szSmall_5,8,-416,19,435,60062
szSmall,szSmall_5,9,-433,-11,422,60062
szMed,szMed_0,0,-2501,-97,2404,60062
szMed,szMed_0,1,-2475,-286,2189,60062
szMed,szMed_0,2,-2453,10,2463,60062
szMed,szMed_0,3,-2481,-350,2131,60062
szMed,szMed_0,4,-2488,-97,2391,60062
szMed,szMed_0,5,-2514,-170,2344,60062
szMed,szMed_0,6,-2512,-432,2080,60062
szMed,szMed_0,7,-2507,-129,2378,60062
szMed,szMed_0,8,-2462,-151,2311,60062
szMed,szMed_0,9,-2438,-103,2335,60062
szMed,szMed_1,0,-2401,302,2703,60062
szMed,szMed_1,1,-2405,329,2734,60062
szMed,szMed_1,2,-2384,214,2598,60062
szMed,szMed_1,3,-2392,511,2903,60062
szMed,szMed_1,4,-2360,205,2565,60062
szMed,szMed_1,5,-2388,278,2666,60062
szMed,szMed_1,6,-2385,254,2639,60062
szMed,szMed_1,7,-2408,319,2727,60062
szMed,szMed_1,8,-2389,313,2702,60062
szMed,szMed_1,9,-2425,103,2528,60062
szMed,szMed_2,0,-2600,-147,2453,60062
szMed,szMed_2,1,-2577,-172,2405,60062
szMed,szMed_2,2,-2571,-16,2555,60062
szMed,szMed_2,3,-2610,-185,2425,60062
szMed,szMed_2,4,-2588,-147,2441,60062
szMed,szMed_2,5,-2608,11,2619,60062
szMed,szMed_2,6,-2602,-73,2529,60062
szMed,szMed_2,7,-2585,-38,2547,60062
szMed,szMed_2,8,-2648,-498,2150,60062
szMed,szMed_2,9,-2547,-55,2492,60062
szMed,szMed_3,0,-2421,-499,1922,60062
szMed,szMed_3,1,-2436,368,2804,60062
szMed,szMed_3,2,-2458,89,2547,60062
szMed,szMed_3,3,-2455,-125,2330,60062
szMed,szMed_3,4,-2378,424,2802,60062
szMed,szMed_3,5,-2431,397,2828,60062
szMed,szMed_3,6,-2424,76,2500,60062
szMed,szMed_3,7,-2430,385,2815,60062
szMed,szMed_3,8,-2407,295,2702,60062
szMed,szMed_3,9,-2412,461,2873,60062
szMed,szMed_4,0,-2349,127,2476,60062
szMed,szMed_4,1,-2348,-163,2185,60062
szMed,szMed_4,2,-2357,73,2430,60062
szMed,szMed_4,3,-2331,360,2691,60062
szMed,szMed_4,4,-2293,283,2576,60062
szMed,szMed_4,5,-2332,225,2557,60062
szMed,szMed_4,6,-2361,351,2712,60062
szMed,szMed_4,7,-2304,276,2580,60062
szMed,szMed_4,8,-2330,385,2715,60062
szMed,szMed_4,9,-2342,233,2575,60062
szMed,szMed_5,0,-2397,186,2583,60062
szMed,szMed_5,1,-2313,446,2759,60062
szMed,szMed_5,2,-2352,-91,2261,60062
szMed,szMed_5,3,-2392,50,2442,60062
szMed,szMed_5,4,-2327,270,2597,60062
szMed,szMed_5,5,-2335,328,2663,60062
szMed,szMed_5,6,-2412,350,2762,60062
szMed,szMed_5,7,-2367,-185,2182,60062
szMed,szMed_5,8,-2344,361,2705,60062
szMed,szMed_5,9,-2344,-4,2340,60062
szLarge,szLarge_0,0,-6524,-408,6116,60062
szLarge,szLarge_0,1,-6469,-337,6132,60062
szLarge,szLarge_0,2,-6532,-392,6140,60062
szLarge,szLarge_0,3,-6548,-389,6159,60062
szLarge,szLarge_0,4,-6536,-416,6120,60062
szLarge,szLarge_0,5,-6395,-224,6171,60062
szLarge,szLarge_0,6,-6493,-609,5884,60062
szLarge,szLarge_0,7,-6582,-444,6138,60062
szLarge,szLarge_0,8,-6537,-275,6262,60062
szLarge,szLarge_0,9,-6539,-98,6441,60062
szLarge,szLarge_1,0,-6886,-1371,5515,60062
szLarge,szLarge_1,1,-6879,-723,6156,60062
szLarge,szLarge_1,2,-6844,-871,5973,60062
szLarge,szLarge_1,3,-6911,-422,6489,60062
szLarge,szLarge_1,4,-6754,-677,6077,60062
szLarge,szLarge_1,5,-6788,-360,6428,60062
szLarge,szLarge_1,6,-6836,-798,6038,60062
szLarge,szLarge_1,7,-6819,-691,6128,60062
szLarge,szLarge_1,8,-6831,-1166,5665,60062
szLarge,szLarge_1,9,-6786,-687,6099,60062
szLarge,szLarge_2,0,-6790,394,7184,60062
szLarge,szLarge_2,1,-6893,-253,6640,60062
szLarge,szLarge_2,2,-6852,-60,6792,60062
szLarge,szLarge_2,3,-6784,-229,6555,60062
szLarge,szLarge_2,4,-6890,-233,6657,60062
szLarge,szLarge_2,5,-6869,5,6874,60062
szLarge,szLarge_2,6,-6888,-533,6355,60062
szLarge,szLarge_2,7,-6825,-1057,5768,60062
szLarge,szLarge_2,8,-6942,148,7090,60062
szLarge,szLarge_2,9,-6822,-94,6728,60062
szLarge,szLarge_3,0,-6793,-367,6426,60062
szLarge,szLarge_3,1,-6877,-471,6406,60062
szLarge,szLarge_3,2,-6859,-89,6770,60062
szLarge,szLarge_3,3,-6681,-803,5878,60062
szLarge,szLarge_3,4,-6770,-555,6215,60062
szLarge,szLarge_3,5,-6805,-436,6369,60062
szLarge,szLarge_3,6,-6740,-328,6412,60062
szLarge,szLarge_3,7,-6846,-187,6659,60062
szLarge,szLarge_3,8,-6878,-764,6114,60062
szLarge,szLarge_3,9,-6872,-520,6352,60062
