evals,best_mean,best_std
1000,-280.562,95.2607
2000,-90.3375,172.01
3000,-29.7375,198.373
4000,-7.3125,200.416
5000,11.3625,203.591
6000,20.725,202.886
7000,28.575,203.32
8000,36.4375,205.966
9000,42.7,206.817
10000,46.8875,205.579
11000,51.75,204.942
12000,55.2875,204.886
13000,58.2625,204.91
14000,61.5375,203.644
15000,63.475,202.933
16000,65.4875,202.783
17000,67.7625,202.754
18000,69.025,202.861
19000,70.9125,202.43
20000,71.775,202.367
21000,74.175,201.996
22000,75,202.091
23000,76.3375,202.087
24000,77.725,201.656
25000,78.6625,201.377
26000,79.4125,200.933
27000,81.1875,200.837
28000,81.825,200.471
29000,82.2375,200.51
30000,83.1875,200.881
31000,84.7,200.647
32000,85.1625,200.451
33000,85.875,200.27
34000,86.8375,199.78
35000,87.3625,199.583
36000,87.75,199.357
37000,88.15,199.382
38000,89.225,199.067
39000,90.2125,199.063
40000,91.65,199.213
