evals,best_mean,best_std
1250,97.0333,372.144
2500,784.033,439.261
3750,933.1,426.964
5000,1016.47,416.801
6250,1064.92,421.73
7500,1101.12,411.813
8750,1131.43,404.5
10000,1150.67,403.199
11250,1167.7,408.761
12500,1191.03,414.309
13750,1204.3,408.356
15000,1213.75,409.861
16250,1224.62,405.589
17500,1232.92,405.435
18750,1246.52,398.897
20000,1253.47,398.528
21250,1262.97,399.728
22500,1275.07,398.906
23750,1289.25,397.518
25000,1298.25,394.203
26250,1306.92,388.409
27500,1313.62,389.307
28749,1318.17,389.052
30000,1330.58,376.891
31250,1333.63,378.415
32500,1339.68,373.893
33750,1344.1,370.24
35000,1349.3,367.091
36250,1351.98,367.567
37500,1357.45,366.871
38750,1366.28,363.997
40000,1370.23,369.406
41250,1372.67,368.307
42500,1375.72,368.432
43750,1383.9,361.766
45000,1391.03,359.796
46250,1400.95,350.685
47500,1406.42,349.793
48750,1416.38,349.757
50000,1418.45,349.027
