param,value,instance,run,init_best,final_best,improvement,gens,evals
pc,0.0,tuneA_0,0,-501,398,899,689,40022
pc,0.0,tuneA_0,1,-511,-132,379,689,40022
pc,0.0,tuneA_0,2,-516,418,934,689,40022
pc,0.0,tuneA_0,3,-498,398,896,689,40022
pc,0.0,tuneA_0,4,-528,-221,307,689,40022
pc,0.0,tuneA_0,5,-533,-112,421,689,40022
pc,0.0,tuneA_0,6,-497,-63,434,689,40022
pc,0.0,tuneA_0,7,-523,40,563,689,40022
pc,0.0,tuneA_0,8,-535,398,933,689,40022
pc,0.0,tuneA_0,9,-493,398,891,689,40022
pc,0.0,tuneA_1,0,-519,347,866,689,40022
pc,0.0,tuneA_1,1,-487,250,737,689,40022
pc,0.0,tuneA_1,2,-537,241,778,689,40022
pc,0.0,tuneA_1,3,-559,268,827,689,40022
pc,0.0,tuneA_1,4,-501,-59,442,689,40022
pc,0.0,tuneA_1,5,-514,347,861,689,40022
pc,0.0,tuneA_1,6,-518,239,757,689,40022
pc,0.0,tuneA_1,7,-550,209,759,689,40022
pc,0.0,tuneA_1,8,-494,261,755,689,40022
pc,0.0,tuneA_1,9,-530,340,870,689,40022
pc,0.0,tuneA_2,0,-562,411,973,689,40022
pc,0.0,tuneA_2,1,-523,-157,366,689,40022
pc,0.0,tuneA_2,2,-532,-75,457,689,40022
pc,0.0,tuneA_2,3,-525,358,883,689,40022
pc,0.0,tuneA_2,4,-527,417,944,689,40022
pc,0.0,tuneA_2,5,-558,429,987,689,40022
pc,0.0,tuneA_2,6,-549,369,918,689,40022
pc,0.0,tuneA_2,7,-484,424,908,689,40022
pc,0.0,tuneA_2,8,-539,414,953,689,40022
pc,0.0,tuneA_2,9,-547,-120,427,689,40022
pc,0.0,tuneB_0,0,-637,125,762,689,40022
pc,0.0,tuneB_0,1,-619,205,824,689,40022
pc,0.0,tuneB_0,2,-604,122,726,689,40022
pc,0.0,tuneB_0,3,-579,124,703,689,40022
pc,0.0,tuneB_0,4,-584,175,759,689,40022
pc,0.0,tuneB_0,5,-619,128,747,689,40022
pc,0.0,tuneB_0,6,-591,159,750,689,40022
pc,0.0,tuneB_0,7,-589,180,769,689,40022
pc,0.0,tuneB_0,8,-598,112,710,689,40022
pc,0.0,tuneB_0,9,-626,96,722,689,40022
pc,0.0,tuneB_1,0,-577,139,716,689,40022
pc,0.0,tuneB_1,1,-514,-47,467,689,40022
pc,0.0,tuneB_1,2,-591,181,772,689,40022
pc,0.0,tuneB_1,3,-573,159,732,689,40022
pc,0.0,tuneB_1,4,-581,103,684,689,40022
pc,0.0,tuneB_1,5,-570,138,708,689,40022
pc,0.0,tuneB_1,6,-566,45,611,689,40022
pc,0.0,tuneB_1,7,-592,86,678,689,40022
pc,0.0,tuneB_1,8,-590,153,743,689,40022
pc,0.0,tuneB_1,9,-593,-251,342,689,40022
pc,0.0,tuneB_2,0,-680,-132,548,689,40022
pc,0.0,tuneB_2,1,-672,-33,639,689,40022
pc,0.0,tuneB_2,2,-679,49,728,689,40022
pc,0.0,tuneB_2,3,-685,9,694,689,40022
pc,0.0,tuneB_2,4,-672,-21,651,689,40022
pc,0.0,tuneB_2,5,-678,-7,671,689,40022
pc,0.0,tuneB_2,6,-645,-28,617,689,40022
pc,0.0,tuneB_2,7,-643,-31,612,689,40022
pc,0.0,tuneB_2,8,-668,-302,366,689,40022
pc,0.0,tuneB_2,9,-670,-127,543,689,40022
pc,0.0,tuneC_0,0,-701,-192,509,689,40022
pc,0.0,tuneC_0,1,-673,-167,506,689,40022
pc,0.0,tuneC_0,2,-682,-180,502,689,40022
pc,0.0,tuneC_0,3,-646,-183,463,689,40022
pc,0.0,tuneC_0,4,-679,-179,500,689,40022
pc,0.0,tuneC_0,5,-690,-177,513,689,40022
pc,0.0,tuneC_0,6,-663,-175,488,689,40022
pc,0.0,tuneC_0,7,-683,-173,510,689,40022
pc,0.0,tuneC_0,8,-678,-186,492,689,40022
pc,0.0,tuneC_0,9,-684,-174,510,689,40022
pc,0.0,tuneC_1,0,-699,-172,527,689,40022
pc,0.0,tuneC_1,1,-682,-203,479,689,40022
pc,0.0,tuneC_1,2,-702,-181,521,689,40022
pc,0.0,tuneC_1,3,-688,-173,515,689,40022
pc,0.0,tuneC_1,4,-706,-177,529,689,40022
pc,0.0,tuneC_1,5,-704,-162,542,689,40022
pc,0.0,tuneC_1,6,-708,-191,517,689,40022
pc,0.0,tuneC_1,7,-660,-155,505,689,40022
pc,0.0,tuneC_1,8,-684,-154,530,689,40022
pc,0.0,tuneC_1,9,-685,-152,533,689,40022
pc,0.3,tuneA_0,0,-501,319,820,689,40022
