param,value,instance,run,init_best,final_best,improvement,gens,evals
pm,0.0,tuneA_0,0,-501,-355,146,689,40022
pm,0.0,tuneA_0,1,-511,-411,100,689,40022
pm,0.0,tuneA_0,2,-516,-293,223,689,40022
pm,0.0,tuneA_0,3,-498,-332,166,689,40022
pm,0.0,tuneA_0,4,-528,-313,215,689,40022
pm,0.0,tuneA_0,5,-533,-283,250,689,40022
pm,0.0,tuneA_0,6,-497,-294,203,689,40022
pm,0.0,tuneA_0,7,-523,-366,157,689,40022
pm,0.0,tuneA_0,8,-535,-252,283,689,40022
pm,0.0,tuneA_0,9,-493,-372,121,689,40022
pm,0.0,tuneA_1,0,-519,-341,178,689,40022
pm,0.0,tuneA_1,1,-487,-288,199,689,40022
pm,0.0,tuneA_1,2,-537,-276,261,689,40022
pm,0.0,tuneA_1,3,-559,-278,281,689,40022
pm,0.0,tuneA_1,4,-501,-358,143,689,40022
pm,0.0,tuneA_1,5,-514,-286,228,689,40022
pm,0.0,tuneA_1,6,-518,-362,156,689,40022
pm,0.0,tuneA_1,7,-550,-323,227,689,40022
pm,0.0,tuneA_1,8,-494,-335,159,689,40022
pm,0.0,tuneA_1,9,-530,-320,210,689,40022
pm,0.0,tuneA_2,0,-562,-397,165,689,40022
pm,0.0,tuneA_2,1,-523,-288,235,689,40022
pm,0.0,tuneA_2,2,-532,-383,149,689,40022
pm,0.0,tuneA_2,3,-525,-334,191,689,40022
pm,0.0,tuneA_2,4,-527,-445,82,689,40022
pm,0.0,tuneA_2,5,-558,-328,230,689,40022
pm,0.0,tuneA_2,6,-549,-305,244,689,40022
pm,0.0,tuneA_2,7,-484,-428,56,689,40022
pm,0.0,tuneA_2,8,-539,-300,239,689,40022
pm,0.0,tuneA_2,9,-547,-193,354,689,40022
pm,0.0,tuneB_0,0,-637,-424,213,689,40022
pm,0.0,tuneB_0,1,-619,-403,216,689,40022
pm,0.0,tuneB_0,2,-604,-412,192,689,40022
pm,0.0,tuneB_0,3,-579,-348,231,689,40022
pm,0.0,tuneB_0,4,-584,-447,137,689,40022
pm,0.0,tuneB_0,5,-619,-422,197,689,40022
pm,0.0,tuneB_0,6,-591,-431,160,689,40022
pm,0.0,tuneB_0,7,-589,-426,163,689,40022
pm,0.0,tuneB_0,8,-598,-434,164,689,40022
pm,0.0,tuneB_0,9,-626,-344,282,689,40022
pm,0.0,tuneB_1,0,-577,-377,200,689,40022
