param,value,instance,run,init_best,final_best,improvement,gens,evals
pm,0.0,protSet_0,0,-2821,-1948,873,862,50056
pm,0.0,protSet_0,1,-2900,-1120,1780,862,50056
pm,0.0,protSet_0,2,-2869,-1767,1102,862,50056
pm,0.0,protSet_0,3,-2956,-1601,1355,862,50056
pm,0.0,protSet_0,4,-2886,-1425,1461,862,50056
pm,0.0,protSet_0,5,-2876,-1431,1445,862,50056
pm,0.0,protSet_0,6,-3027,-1639,1388,862,50056
pm,0.0,protSet_0,7,-2960,-1799,1161,862,50056
pm,0.0,protSet_0,8,-2907,-1930,977,862,50056
pm,0.0,protSet_0,9,-2898,-1550,1348,862,50056
pm,0.0,protSet_1,0,-2680,-1058,1622,862,50056
pm,0.0,protSet_1,1,-2692,-1758,934,862,50056
pm,0.0,protSet_1,2,-2618,-1265,1353,862,50056
pm,0.0,protSet_1,3,-2669,-1496,1173,862,50056
pm,0.0,protSet_1,4,-2739,-1799,940,862,50056
pm,0.0,protSet_1,5,-2705,-1448,1257,862,50056
pm,0.0,protSet_1,6,-2473,-1514,959,862,50056
pm,0.0,protSet_1,7,-2664,-1810,854,862,50056
pm,0.0,protSet_1,8,-2677,-1367,1310,862,50056
pm,0.0,protSet_1,9,-2532,-2051,481,862,50056
pm,0.0,protSet_2,0,-3255,-1430,1825,862,50056
pm,0.0,protSet_2,1,-3296,-1947,1349,862,50056
pm,0.0,protSet_2,2,-3275,-1964,1311,862,50056
pm,0.0,protSet_2,3,-3196,-2091,1105,862,50056
pm,0.0,protSet_2,4,-3251,-2150,1101,862,50056
pm,0.0,protSet_2,5,-3131,-2079,1052,862,50056
pm,0.0,protSet_2,6,-3238,-1674,1564,862,50056
pm,0.0,protSet_2,7,-3237,-1962,1275,862,50056
pm,0.0,protSet_2,8,-3202,-1806,1396,862,50056
pm,0.0,protSet_2,9,-3264,-1720,1544,862,50056
pm,0.0,protSet_3,0,-2870,-1633,1237,862,50056
pm,0.0,protSet_3,1,-3099,-1335,1764,862,50056
pm,0.0,protSet_3,2,-2805,-1854,951,862,50056
pm,0.0,protSet_3,3,-3166,-1664,1502,862,50056
pm,0.0,protSet_3,4,-3006,-1947,1059,862,50056
pm,0.0,protSet_3,5,-3135,-1787,1348,862,50056
pm,0.0,protSet_3,6,-2963,-1717,1246,862,50056
pm,0.0,protSet_3,7,-3063,-2001,1062,862,50056
pm,0.0,protSet_3,8,-2956,-1154,1802,862,50056
pm,0.0,protSet_3,9,-2913,-1860,1053,862,50056
pm,0.0,protSet_4,0,-2875,-1827,1048,862,50056
pm,0.0,protSet_4,1,-2887,-1650,1237,862,50056
pm,0.0,protSet_4,2,-2883,-1365,1518,862,50056
pm,0.0,protSet_4,3,-2918,-1425,1493,862,50056
pm,0.0,protSet_4,4,-2950,-1479,1471,862,50056
pm,0.0,protSet_4,5,-2870,-1678,1192,862,50056
pm,0.0,protSet_4,6,-2775,-1890,885,862,50056
