param,value,instance,run,init_best,final_best,improvement,gens,evals
pop,20,tuneA_0,0,-563,398,961,2222,40016
pop,20,tuneA_0,1,-511,-166,345,2222,40016
pop,20,tuneA_0,2,-575,418,993,2222,40016
pop,20,tuneA_0,3,-554,418,972,2222,40016
pop,20,tuneA_0,4,-558,410,968,2222,40016
pop,20,tuneA_0,5,-571,398,969,2222,40016
pop,20,tuneA_0,6,-534,339,873,2222,40016
pop,20,tuneA_0,7,-542,405,947,2222,40016
pop,20,tuneA_0,8,-578,418,996,2222,40016
pop,20,tuneA_0,9,-536,418,954,2222,40016
pop,20,tuneA_1,0,-535,206,741,2222,40016
pop,20,tuneA_1,1,-567,284,851,2222,40016
pop,20,tuneA_1,2,-537,-168,369,2222,40016
pop,20,tuneA_1,3,-559,314,873,2222,40016
pop,20,tuneA_1,4,-560,286,846,2222,40016
pop,20,tuneA_1,5,-564,51,615,2222,40016
pop,20,tuneA_1,6,-518,308,826,2222,40016
pop,20,tuneA_1,7,-555,356,911,2222,40016
pop,20,tuneA_1,8,-567,71,638,2222,40016
pop,20,tuneA_1,9,-566,320,886,2222,40016
pop,20,tuneA_2,0,-594,-231,363,2222,40016
pop,20,tuneA_2,1,-523,-243,280,2222,40016
pop,20,tuneA_2,2,-532,-188,344,2222,40016
pop,20,tuneA_2,3,-575,-104,471,2222,40016
pop,20,tuneA_2,4,-585,415,1000,2222,40016
pop,20,tuneA_2,5,-569,329,898,2222,40016
pop,20,tuneA_2,6,-590,409,999,2222,40016
pop,20,tuneA_2,7,-593,-82,511,2222,40016
pop,20,tuneA_2,8,-570,34,604,2222,40016
pop,20,tuneA_2,9,-578,-145,433,2222,40016
pop,20,tuneB_0,0,-653,134,787,2222,40016
pop,20,tuneB_0,1,-632,193,825,2222,40016
pop,20,tuneB_0,2,-604,144,748,2222,40016
pop,20,tuneB_0,3,-579,109,688,2222,40016
pop,20,tuneB_0,4,-640,126,766,2222,40016
pop,20,tuneB_0,5,-648,189,837,2222,40016
pop,20,tuneB_0,6,-591,-249,342,2222,40016
