Dataset,SeqType,NumAnts,Iterations,Alpha,Beta,Rho,Score,Time(s)
dna_small_medium_3.fasta,DNA,5,10,1.0,1.0,0.1,-398,0.24
dna_small_medium_3.fasta,DNA,10,10,1.0,1.0,0.1,-382,0.46
dna_small_medium_3.fasta,DNA,10,10,1.0,1.0,0.05,-441,0.47
dna_small_medium_3.fasta,DNA,10,10,1.0,1.0,0.2,-412,0.51
dna_small_medium_1.fasta,DNA,5,10,1.0,1.0,0.1,-442,0.23
dna_small_medium_1.fasta,DNA,10,10,1.0,1.0,0.1,-359,0.45
dna_small_medium_1.fasta,DNA,10,10,1.0,1.0,0.05,-409,0.45
dna_small_medium_1.fasta,DNA,10,10,1.0,1.0,0.2,-393,0.44
protein_small_medium_2.fasta,PROTEIN,5,10,1.0,1.0,0.1,-2276,0.33
protein_small_medium_2.fasta,PROTEIN,10,10,1.0,1.0,0.1,-2291,0.65
protein_small_medium_2.fasta,PROTEIN,10,10,1.0,1.0,0.05,-2330,0.65
protein_small_medium_2.fasta,PROTEIN,10,10,1.0,1.0,0.2,-2219,0.66
dna_small_medium_2.fasta,DNA,5,10,1.0,1.0,0.1,-396,0.22
dna_small_medium_2.fasta,DNA,10,10,1.0,1.0,0.1,-408,0.44
dna_small_medium_2.fasta,DNA,10,10,1.0,1.0,0.05,-408,0.50
dna_small_medium_2.fasta,DNA,10,10,1.0,1.0,0.2,-407,0.44
protein_small_medium_1.fasta,PROTEIN,5,10,1.0,1.0,0.1,-2309,0.34
protein_small_medium_1.fasta,PROTEIN,10,10,1.0,1.0,0.1,-2299,0.68
protein_small_medium_1.fasta,PROTEIN,10,10,1.0,1.0,0.05,-2191,0.68
protein_small_medium_1.fasta,PROTEIN,10,10,1.0,1.0,0.2,-2403,0.68
protein_small_medium_3.fasta,PROTEIN,5,10,1.0,1.0,0.1,-2386,0.35
protein_small_medium_3.fasta,PROTEIN,10,10,1.0,1.0,0.1,-2308,0.71
protein_small_medium_3.fasta,PROTEIN,10,10,1.0,1.0,0.05,-2161,0.69
protein_small_medium_3.fasta,PROTEIN,10,10,1.0,1.0,0.2,-2456,0.75
